Linha		Agência		Conta		Saldo		Status
2			9444		21382-2		880.2		PENDENTE
3			8989		35960-6		617.71		RECEBIDO
4			0201		29139-9		716.19		RECEBIDO
5			4828		63483-3		416.01		RECEBIDO
6			3507		36812-9		156.51		RECEBIDO
7			9094		23386-0		365.54		RECEBIDO
8			1418		53164-2		213.04		PENDENTE
9			3957		29568-2		738.22		PENDENTE
10			8884		30278-9		301.75		RECEBIDO
11			5646		94480-6		141.24		PENDENTE
12			0403		43150-5		810.05		PENDENTE
13			4531		93851-6		573.82		RECEBIDO
14			6563		25662-1		531.95		RECEBIDO
15			6503		40573-2		766.67		PENDENTE
